friend1,friend2
Ainhoa485,Ian534
Manex238,Lia343
Dylan863,Carla852
Daniel962,Adam451
Einar203,Paule389
Leo882,Anne730
Mariam879,Daniela701
Manex238,Haizea649
Izadi747,Paul269
Santiago844,Daniela701
Ekai739,Javier118
Ekaitz465,Haizea649
Adam451,Ekain78
Adam451,Ekain822
Mateo40,Hugo926
Bruno795,Izei481
Einar203,Erik962
Aiala543,Zoe345
Imran131,Aner261
Mateo679,Daniela701
Bruno795,Adrian926
Ian534,Manex238
Adei756,Haizea756
Mariam879,Carla590
Aratz849,Carla852
Aitana39,Elaia376
Izadi747,Anne730
Mateo40,Eki587
Einar203,Beñat600
Paula73,Aroa390
Javier118,Ane151
Santiago844,Carla590
Izadi364,Eder788
Enara54,Lorea99
Nerea329,Beñat600
Libe346,Adrian926
Aitana39,Pablo411
Jon82,Erik962
Aiur695,Anne730
Intza192,Ekain822
Imran131,Lur479
Lia184,Eder788
Ane151,Ian534
Aroa390,Adrian926
Paul269,Lucía14
Liam615,Peio636
Jokin412,Bruno795
Adam451,Leo708
Izadi747,Mariam114
Maddi938,Lur479
Imran131,Libe346
Adrian926,Sofia14
Ekaitz465,Adrian926
Eki587,Ane772
Ekaitz465,Zoe345
Ekain78,Aimar45
Leo708,Ekaitz465
Manex238,Erik962
Luka705,Santiago844
Ekaitz691,Liam615
Luka705,Mariam879
Peio118,Daniela701
Ainhize708,Leo34
Anne730,Sofia14
Intza192,Enara54
Mateo40,Nerea770
Izadi747,Paula73
Bruno795,Carla852
Mariam114,Dylan863
Leo708,Ian534
Peio636,Aiala543
Mariam114,Beñat600
Imran131,Liam465
Nerea770,Erik962
Martina400,Paule389
Javier118,Ainhoa485
Ekain78,June183
Mateo679,Gabriela474
Jokin412,Udane692
Javier118,Paule389
Ekain78,Paul269
Adei756,Dylan863
Mariam114,June183
Imran131,Lorea99
Aroa390,Paul269
Anne730,Liam465
Carla900,Ane772
Peio118,Paule389
Pablo411,Anne730
Mateo40,Victoria851
Santiago844,Gabriela474
Javier118,Leo34
Nerea770,Peio636
Enzo334,Sofia14
Jokin412,Maddi411
Santiago147,Ane772
Paula73,Lucía14
Jokin412,Daniela701
Leo708,Pablo411
Lorea99,Manex835
Lia184,Neizan714
Luka705,Mateo679
Hugo926,Leo34
Yasmin724,Manex835
Erik962,Haizea649
Enzo334,Aiur695
Mateo40,Carla900
Enzo334,Libe346
Daniela701,Aiur695
Mateo40,Zoe345
Adam451,Manex238
Erik962,Eder322
Neizan714,Ane772
Haizea649,Aiala543
Anne246,Carla852
Ian534,Lia343
Maddi411,Jare197
Santiago147,Lara868
Leo708,Erik962
Aratz849,Mateo679
Peio118,Gabriela474
Hugo926,Neizan714
Mateo679,Leo34
Mateo679,Carla590
Iker306,June183
Leo708,Sofia14
Jon82,Maren352
Bruno795,Anne730
Lara868,Izadi364
Imran131,Dylan863
Jare197,Niko78
Paule389,Lia184
Ekain78,Gabriela474
Liam615,Manex238
Einar203,Iker306
Adam451,Haizea649
Aitana39,Libe346
Aratz849,Yasmin724
Javier118,Beñat600
Manex835,Libe262
Jare197,Beñat600
Elaia376,Anne730
Peio118,Sofia14
Santiago147,Sofia14
Leo882,Nerea329
Liher935,Carla852
Paule389,Ane772
Elaia376,Adrian926
Victoria851,Nicolás11
Jare197,Udane692
Hugo926,Iker306
Jon82,Aiala543
Eder788,Ane772
Liam615,Izei481
Martina400,Ekain822
Mariam114,Iker306
Pablo411,Adrian926
Ekaitz691,Daniel962
Mateo679,Ekain822
Yasmin724,Leo34
Aratz849,Martina400
Lara868,Aner261
Martina400,Liher935
Lara868,Aroa390
Javier118,Lia184
Aratz849,Libe262
Nicolás11,Libe346
Ekain78,Aiala543
Aiur695,Manex835
Ekain78,Imran131
Liher935,Eder788
Peio636,Nerea329
Ekaitz465,Ekain822
Lucía14,Maialen194
Izadi364,Jare197
Adam451,Aiur695
Leo882,Gabriela474
Ainhoa485,Nerea329
Peio636,Ian534
Daniela701,Liam465
Aitana39,Lur479
Liher935,Liam465
Liam465,Neizan714
Carla900,Libe262
Adrian34,Javier118
Adei756,Izadi364
Izadi364,Mariam114
Enzo334,Mateo679
Victoria851,Nerea770
Daniel962,Eki587
Luka705,Yasmin724
Adrian34,Anne730
Anne246,Carla590
Mariam879,Leo34
Maddi938,Mariam114
Ekaitz465,Aiala543
Ekai739,Mariam114
Jare197,Manex835
Paul269,Beñat600
Maddi411,Zoe345
Jokin412,Gabriela474
Ekaitz691,Nicolás11
Sofia14,Aiala543
Peio118,Manex835
Ekai739,Anne730
Aitana39,Liam465
Victoria851,Imran131
Imran131,Zoe345
Aner261,Adrian926
Aner261,Gabriela474
Imran131,Martina400
Anne246,Aratz849
Nicolás11,Peio636
Aiur695,Maddi411
Lia184,Eki587
Aimar45,Lia343
Libe346,Ekain822
Lorea99,Maddi938
Leo708,Aiala543
Aroa390,Mariam114
Paula73,Ian534
Ekaitz691,Anne246
Mateo40,Martina400
Ainhize708,Ane151
Anne730,Lia343
Intza192,Enzo334
Mateo40,Elaia376
Intza192,Adrian926
Izadi747,Maialen194
Paule389,Elaia376
Aiur695,Udane692
Paula73,Haizea649
Peio636,Lia343
Bruno795,Lorea99
Mariam879,Gabriela474
Nerea770,Haizea649
Aner261,Ekain822
Adei756,Lucía14
Manex238,Niko78
Adam451,Luka705
Ainhoa485,Daniela701
Adam451,Maialen194
Peio118,Bruno795
Ekain78,Ian534
Manex835,Sofia14
Paule389,Eder322
Nicolás11,Sofia14
Izei481,Chloe233
Daniel962,Neizan714
Nicolás11,Mateo679
Pablo411,Aiala543
Ekain78,Nerea329
Mateo679,Anne730
Enara54,Carla590
Ekaitz465,Jon82
Libe262,Eki587
Mateo40,Anne246
Elaia376,Lia184
Izadi747,Adrian926
Pablo411,Ekain822
Pablo411,Aimar45
Adei756,Lia184
Enara54,Sofia14
Ainhize708,Martina400
Ekaitz691,Ainhize708
Jokin412,Maren352
Enara54,Libe346
Daniel962,Santiago147
Intza192,Daniela701
Santiago147,Luka705
Ekaitz465,Luka705
Mateo40,Liher935
Ainhoa485,Aimar45
Aner261,June183
Pablo411,Haizea649
Santiago147,Anne246
Adrian926,Lur479
Eder322,Leo34
Bruno795,Aratz849
Mateo679,Chloe233
Carla900,Leo34
Paule389,Eder788
Santiago147,Einar203
Maren352,Neizan714
Nerea329,Iker306
Carla900,Jokin412
Mateo40,Bruno795
Ekaitz691,Ane772
Izadi747,Enzo334
Leo882,Leo34
Izei481,Manex835
Intza192,Gabriela474
Manex835,Carla852
Daniel962,Eder788
Ian534,Dylan863
Maddi938,Libe346
Imran131,Beñat600
Eder322,Lucía14
Ainhoa485,Lukas519
Nicolás11,Jon82
Izadi364,Eki587
Luka705,Sofia14
Adei756,Niko78
Ekaitz691,Maren352
Ainhize708,Carla852
Mateo40,Lia184
Leo708,Yasmin724
Jare197,Dylan863
Santiago147,Carla590
Intza192,Aitana39
Peio118,Ainhize708
Imran131,Sofia14
Adam451,Chloe233
Adrian34,June183
Leo34,Eder788
Adam451,Libe346
Enara54,Libe262
Hugo926,Maddi938
Ekain78,Anne730
Aner261,Aiala543
Peio118,Ane772
Aner261,Lia343
Erik962,Sofia14
Adam451,Sofia14
Haizea756,Niko78
Adam451,Leo882
Intza192,Jare197
Imran131,Izei481
Imran131,Nerea770
Leo708,Manex238
Javier118,Aner261
Ekain78,Manex238
Peio118,Aitana39
Peio636,Mariam114
Izadi364,Maialen194
Aner261,Haizea649
Maddi411,Sofia14
Ekaitz465,Lur479
Mariam114,Maddi411
Jare197,Aimar45
Paula73,Ane151
Ian534,Libe346
Adei756,Lukas519
Aratz849,Eki587
Lorea99,Ekaitz465
Daniel962,Yasmin724
Santiago147,Yasmin724
Ekaitz691,Lia184
Jokin412,Javier118
Ainhize708,Aner261
Manex238,Anne730
Enzo334,Haizea649
Jokin412,Eki587
Chloe233,Lur479
