friend1,friend2
Naroa178,Eneko627
Alvaro484,Aimar926
Mikel660,Izar231
Aimar926,Ariane194
Ander87,Laida790
Amir106,Lorea462
Nora582,Leire641
Inar259,Nora492
Asier281,Eder280
Maddi135,Unax626
Mara662,Laida790
Vega640,Jare108
Arhane646,Maddi135
Mikel377,Manex969
Miren719,Vega447
Mariam39,Manex57
Manex135,Maddi135
Ilargi203,Valeria385
Alejandro692,Alain116
Laida621,Sofia48
Irene195,Aitana761
Vega640,Thiago253
Sare152,Martina726
June896,Vega447
Xare691,Nikole419
Laida597,Unai592
Vera489,Xare691
Nikole419,Kattalin804
Thiago552,Laida296
Asier281,Eki960
Alex46,Arhane766
Sofia905,Nora492
Marcos588,Samuel571
Mario890,Lur17
Gael613,Laida790
Eneko654,Ariane194
Manex969,David613
Kattalin804,Eneko627
Mikel377,Thiago110
Inar259,Arhane19
Mario451,Vera489
Aimar875,Leire641
Peio64,Eki960
Thiago552,Enzo979
Lander90,Oihan29
Valeria385,Unai650
Eneko654,Peio64
Nora582,Aimar875
Unai592,Thiago995
Manex135,Thiago995
Amaia875,Julia440
Valeria385,Naroa178
Unai650,Izan704
Enzo979,Maia798
Marcos863,Garazi411
Mohamed938,Alex46
Mikel660,Mariam39
Andrea292,June896
Adrián177,Adur493
Bruno164,Luka862
Gael613,Eneko858
Unai592,Eneko858
Manex57,Unax626
Eneko654,Naroa178
Bruno164,Mariam39
Bruno164,Ibon365
Vega640,Nerea432
Leire641,Alejandro275
Elene17,Eneko975
Aitor125,Nora986
Carla533,Andrea292
Manex969,Alejandro275
Paul641,Jon394
Arhane766,Jon394
Thiago157,Alain116
Carla515,Maddi135
Aitor324,Arhane646
Nora492,Paul641
Mara662,Inar259
Sara0,Santiago167
Carla533,Alex334
Peio7,Eneko654
Bruno164,Vega640
Vega502,Laida790
Amir106,Fatima741
Thiago157,Oihan29
Aimar926,Mateo247
Mariam39,Maddi135
Sofia905,Lorea462
Ander87,Eder280
Eder956,Amaia875
Alex46,Sara0
Alex334,Laida790
Andrea292,Eki960
Julia440,Lara974
Carla533,Asier281
Valeria385,Maia798
Nora840,Samuel618
Amaia875,Samuel594
Imran423,Valentina401
Alaia431,Vega502
Hugo922,Chloe985
Ilargi203,Eneko858
Alejandro692,Nora492
Nora986,Iria263
Ibon365,Iria263
Ainhoa919,Ibon365
Laida296,Lorea462
Valentina401,Nora840
Ander87,Sofia48
David613,Leire641
Xare691,Inar259
Laida621,Ariane194
Mateo247,Izan704
Luken592,Ekain72
Vera489,Luka862
Nora492,Eder280
Alejandro692,Manex135
Nahia136,Peio64
Adrián177,Mateo247
Alex46,Alain116
Nora986,Vega447
Lander90,Valentina401
Alejandro692,Unax626
Amets627,Arhane19
Peio7,Eneko627
Anne439,Andrea292
Imran423,Alaia431
Chloe985,Mara662
Nikole861,Carla533
Jare108,Luka862
Jule461,Fatima741
Adrián177,Mikel660
Sara0,Ariane194
Laida621,Laida790
Hugo922,Alejandro692
Unai496,Laida296
Laida597,Marcos588
Luken592,Lucía194
Thiago157,Jare108
Anne439,Sofia48
Valentina401,Xare691
Oihan29,Nora840
Arhane646,Lucía194
Mikel660,Vera489
Alex334,Arhane19
Garazi411,Oihan29
Samuel594,Kattalin804
Ainhoa919,Samuel571
Valeria385,Samuel594
Andrea292,Alain277
Jon394,Eneko858
Unai592,Xare691
Valeria385,Sofia48
Alaia431,Mara662
Ekain72,Thiago253
Mikel660,Eneko654
Carla515,Lucía194
Lara974,Danel808
Bruno164,Nora986
Nikole419,Samuel571
Sofia905,Jon394
Alaia431,Andrea292
Inar259,Enzo979
Mikel377,Lucía194
Ilargi203,Eder963
Carla533,Ander87
Lander90,Manex57
Iria263,Ariane194
Vega640,Unai496
Chloe985,Ibon365
Arhane646,Einar260
Eder956,Jon394
Leire801,Arhane646
Mohamed938,Sara0
Gael613,Hugo931
Aimar875,Thiago110
Aitor125,Alex46
Peio64,Aimar926
Alain277,Eneko975
Lara974,Gabriela839
Andrea292,Laida790
Jule461,Einar260
Aitor125,Mariam39
Irene195,Sara0
Vega640,Alain116
Amir106,Libe461
Amets627,Anne389
Laida597,Daniel494
Mara662,Unai650
Arhane766,Nikole419
Jon394,Eder963
Eneko295,Oihan29
Vega640,Iria263
Laida621,Santiago167
Einar260,Martina454
Amets627,Ekain72
Mario890,Liher153
Mohamed938,Ibon365
Vera489,Ander87
Alvaro231,Eneko295
Alaia431,Martina454
Ainhoa919,Manex135
Xare691,Vega502
Peio64,Thiago253
Alvaro484,Sofia905
Alvaro231,Luken592
Aimar875,Elene17
Jule461,Hugo98
Daniel494,Vega502
Xare691,Nora840
Unax899,Andrea292
Aimar875,Maia798
Thiago253,Lucía194
Daniel494,Nora840
Inar433,Iria263
Hugo922,Oihan29
Enzo979,Fatima741
Aitor125,Alaia431
Arhane19,Izan704
Mario451,Liher153
Chloe985,Carla533
Imran423,Valeria385
Nora582,Nikole861
Anne389,Ekain72
Paul641,Lorea462
Ainhoa919,Mara662
Alex46,Alejandro692
Carla533,Arhane766
Daniel494,Samuel618
Marcos588,Leize199
Libe461,Samuel594
Nora492,Nikole419
Eneko975,Luka862
Lara974,Hugo98
Ilargi203,Oihan29
Eder956,Ilargi203
Alex334,June896
Chloe985,Manex57
Carla533,Eneko627
Mariam39,Eder280
Eki960,Martina726
Vega640,Valeria385
Eneko295,Eneko975
Paul641,Izan704
Alvaro484,Peio64
Enzo979,Thiago110
Amets627,Libe379
David613,Martina726
Mara662,Paul641
Carla515,Enzo979
Mario451,Lara974
Sara0,Aitana761
Vega908,Leire641
Thiago157,Manex57
Julia440,Oihan29
Sara0,Thiago253
Alejandro558,Eki960
Einar260,Lara974
Laida597,Hugo98
Unai592,Eder963
Anne439,Libe379
Vega640,Eder280
Laida790,Samuel618
Eneko975,Unax626
Peio64,Eneko627
Oihan29,Unax626
Ander87,Arhane19
Valeria385,Xare691
Santiago167,Oihan29
Alain277,Aitor324
Unai496,Martina726
Unax899,Alex334
Alvaro484,Lucía194
Valeria385,Leize83
Valeria385,Alain277
Amets627,Amaia875
Carla533,Miren719
Leire801,Samuel594
Ibon365,Eneko975
Daniel494,Martina454
Hugo98,Eder963
Mikel377,Manex135
Libe461,Nerea432
Vera489,Asier281
Alaia431,Laida597
Nikole861,Mariam39
Hugo931,Oihan29
Bruno164,Liher153
Laida597,Einar260
Vega640,Manex57
